id,text
246,can i die from covid-19
247,what cleaning regimen should i follow
248,is there a vaccine for this
249,this is crap
250,what is covid-19
251,how many people have covid-19 in the whole world?
252,how has coronavirus spread around the world?
253,this is crap
254,how do i self quarantine ?
255,what should i do in quarantine?
256,what grocery store in keller is open?
257,returning from abroad
258,when will the schools open?
259,is covid a disease?
260,is it okay to go grocery shopping?
261,how often do i need to clean my home to prevent the spread of coronavirus?
262,are the national parks closed?
263,who will give me my covid test results?
264,how to treat covid?
265,is there a covid vaccine?
266,what are symptoms of coronvirus
267,what is covid?
268,are schools closed in my area
269,will students still graduate this year?
270,can i travel for work?
271,are schools open
272,"i am on a exchange trip, should i cancel it?"
273,apply for unemployment
274,how long does the virus last
275,how do i apply for unemployment because of coid-19
276,can the dog get sick with corona virus?
277,what does a state of emergency mean?
278,how is it possible that the state does not have enough masks and respirators?
279,what is covid19
280,can i lower my temperature using medication?
281,i have a burning feeling in my chest
282,how many people are infected
283,spreading covid to others
284,what is covid?
285,incubation period of coronavirus?
286,i want to be tested for covid-19
287,what are symtoms?
288,what are symptoms?
289,what's the difference between flu and coronavirus
290,are schools open?
291,are schools shut down?
292,how can covid be transmitted
293,what does the ordered school closure mean for report cards?
294,can dogs get covid19?
295,can you direct me to the nearest test center
296,how to avoid catching covid-19.
297,should i go to the doctor now
298,what is covid
299,where do i get a test
300,how are you
301,testing spots for coronavirus?
302,what are symptoms?
303,i'm teaching at a school that's closed. what should i do?
304,they closed my school and i have nowhere to work.
305,can animal get the corona virus?
306,flu vs. covid-19
307,what is covid-19
308,will there be a mandated quarantine
309,i hate this
310,are the national parks closed?
311,are schools open
312,yes it is
313,what exactly is home quarantine?
314,am i safe outside?
315,is covid a disease?
316,what parks are open?
317,when should i wear a mask?
318,what can i ask you
319,will i get paid leave?
320,where did covid come from?
321,where cani get tested
322,my child has a high fever and is coughing. what should i do?
323,can i get infected through a package from china
324,this is hateful
325,can i get tested?
326,can i go to the grocery store
327,how do i apply for unemployment benefits due to covid-19?
328,i have headache and sore throat ..what should i do ?
329,can i return to the united states?
330,are people in quarantine checked?
331,how to i apply for unemployment
332,can dogs get the corona virus?
333,how to avoid catching covid-19.
334,where can i learn more about covid?
335,what is the corona virus?
336,coronavirus test kit
337,i have illness symptoms
338,does alcohol kill the coronavirus?
339,what is corona virus
340,spreading covid to others
341,i was on vacation in another country.  do i need to quarantine?
342,when should i wear a respirator?
343,i do not know what to do
344,is anyone checking for compliance with those ordered to quarantine?
345,should i wear a mask so i don't get infected?
346,when do i call a doctor
347,how do i catch the virus?
348,what can i do if i lose my job
349,is the us well prepared for covid 19
350,where did corona virus start from?
351,can i still attend a conference
352,where can i get screened?
353,can i get infected if i receive a package
354,how is covid-19 spread?
355,where should i go to get screened
356,testing spots for coronavirus?
357,are schools closed
358,what are the symptoms of covid-19
359,is this worse than flue
360,am i safe outside?
361,how does covid spread?
362,how do i avoid coronavirus
363,prevent the spread of the virus
364,how is the united states prepared for the spread of covid 19?
365,will graduations be pushed back?
366,paid sick leave
367,"i live in ontario, where can i get tested?"
368,can i leave for an exchange trip?
369,how many people total have coronavirus?
370,when can i be ordered to quarantine?
371,what exactly is home quarantine?
372,flu vs. covid-19
373,we're on an exchange trip now what?
374,do i have to wear a mask when i'm outside or taking a walk?
375,where can i get tested for coronavirus?
376,does the virus spread thru surfaces
377,when can i buy a mask at a pharmacy?
378,i want a coronavirus test
379,how much do i get paid for sick leave
380,how many hospital beds are available in the united states?
381,will there be exams in the summer?
382,i want to talk to a person.
383,when should i call a doctor
384,what are the covid-19 symptoms?
385,am i going to die?
386,what is the first symptom
387,can my pets carry the virus?
388,returning from abroad
389,my throat and head hurt
390,is graduation delayed?
391,do i need lysol wipes?
392,when should i go to the doctor?
393,best vitamin to take
394,where can i get screened?
395,what countries are under a quarantine?
396,i feel congested and have a fever
397,how long is the incubation period of covid 19?
398,what city parks are open?
399,my husband has coronavirus symptoms
400,am i able to work from my home office?
401,when can kids return to school
402,how long do i have to self isolate if i have tested positive?
403,when will the ncaa championships be held?
404,what if i live by myself and i'm in quarantine?
405,can i get tested at home?
406,duration of paid sick leave?
407,will classes be moved to summer?
408,how would i get covid?
409,is it possible to estimate how long it will take to administer the drug / vaccine to people?
410,what is covid
411,where did covid come from?
412,how does covid-19 spread
413,i came back from a country do i have to quarantine?
414,sars vs corona virus?
415,when will the schools open?
416,how should i quarantine if i live with other people?
417,i just travelled. what do i do?
418,should my child stay home from school?
419,when will covid-19 medicines be ready?
420,what are covid 19 symptoms
421,where did the coronavirus come from?
422,should we get tested if we only have symptoms
423,can i get tested
424,i want to help with babysitting.
425,i want to help i'm a student.
426,am i allowed to go to my garden in quarantine?
427,can animal get the corona virus?
428,are people infected in my city ?
429,can someone come see me during quarantine?
430,which countries are more of a risk?
431,can i go to the hospital?
432,how does covid spread?
433,how dangerous is this?
434,my wife is in quarantine.  do i need to be as well?
435,is the school closed
436,flu vs. covid-19
437,can pets get covid
438,can pets get covid
439,what is the risk of coronavirus for pregnant women?
440,how do i wash my hands properly?
441,why aren't there respirators?
442,i want to be transferred
443,who is in danger
444,are the local parks open?
445,are schools open?
446,what medicine should i take for covid 19
447,can i get tested for cover?
448,connect me to someone
449,how contagious is covid-19?
450,should i get tested
451,is the coronavirus the same as mers?
452,is this worse than flue
453,are you a robot?
454,what is the best prevention?
455,how long does it last
456,my eyes are burning
457,when can my kids back school
458,should i change my travel plans?
459,i heard about a medication for coronavirus treatment
460,how many cases are there in texas?
461,what are my symptoms
462,tell me about working from home?
463,is this worse than the flu?
464,how does coronavirus spread?
465,i can't go to work.  can i get unemployment?
466,which countries are quarantined
467,where can i get tested in alabama
468,i want to talk to an agent
469,why aren't there respirators?
470,does the sun kill coronavirus?
471,when can i get my results?
472,how's the flu different from coronavirus?
473,what is different between flu and coronavirus
474,how long are people infected with covid-19 before they are symptomatic?
475,what schools are closed
476,am i eligible for sick leave
477,what happens when the hospital is full?
478,where are cases?
479,are there any cases near me
480,can my child go to school?
481,who is most at risk
482,can i go to grocery stores
483,i want to talk to someone.
484,ihave sore throat
485,are my schools closed?
486,how do i protect myself?
487,what is corona virus
488,what are the early symptoms of covid-19?
489,what are symptoms
490,what to do if i think i have covid?
491,i have a sore throat
492,how contagious is covid-19?
493,what can i ask you
494,how do i avoid covid-19?
495,what is covid-19
496,what is the corona virus?
497,how does covid spread?
498,are schools closed?
499,i'd like a respirator
500,ihave sore throat
501,are events being shut down?
502,a colleague is breaking quarantine what should i do?
503,is the coronavirus the same as a cold?
504,i want to switch to an operator.
505,when will my good go back to school?
506,what are symptoms?
507,what is covid-19
508,i would like to get involved as a volunteer in the current situation but i do not know how to get involved.
509,when should i go to the hospital?
510,is there a test kit for the coronavirus
511,am i safe outside?
512,how does quarantine work?
513,who you are?
514,how long does the coronavirus last?
515,who are you
516,is there a cure for covid-19?
517,who to contact when i'm in the high risk area
518,can i get tested at my doctor's?
519,is a headache a symptom of the coronavirus?
520,i hate this
521,i'm in quarantine and can't work.  what should i do?
522,how can i get infected?
523,i think i have covid 19
524,this is crap
525,who is the most vulnerable to covid
526,when will the national emergency end?
527,are schools closed ?
528,can i get paid sick leave
529,i need help
530,when will the nhl return?
531,i don't like this
532,what medicines work best
533,what is the coronavirus?
534,what does covid stand for?
535,what are the covid symtoms
536,what medicine work best for treatment ?
537,what can i do to prevent getting coronavirus?
538,how does covid spread
539,does eating garlic help?
540,are my schools closed?
541,i'm working at a school that's closed now. what should i do?
542,i hate this
543,how can i get tested for covid?
544,who is most at risk?
545,my throat hurts and i have a headache as well
546,paid sick leave
547,returning from abroad
548,describe shortness of breath
549,i often travel by public transport. should i wear a respirator?
550,what symptoms are typical with this disease
551,should i quit the study abroad program?
552,if i only have a sore throat is it coronavirus?
553,can i take a sick leave to quarantine?
554,how can one know if they have been infected?
555,are the local parks open?
556,are my schools closed?
557,what is the test to detect covid 19?
558,is my kids school closed?
559,how long does the coronavirus last?
560,where should i go if i suspect i have coronavirus?
561,where can i get a test?
562,what has our government already done to reduce the risk of spreading the disease
563,is anyone allowed to visit during quarantine?
564,i traveled to italy recently. what do i do?
565,how long does the disease last?
566,what is covid-19
567,do i need lysol wipes?
568,switch me to an operator
569,does ma have a confirmed covid case?
570,what measures is the us taking against covid-19?
571,will i poop a lot if i have the virus?
572,how should i properly wash my hands?
573,do i need to disinfect my cell phone when i get home
574,how to distinguish it from a common cold.
575,when will masks be available at retail stores? they are not yet and we can get infected on public transport before they are.
576,are quarantined visits allowed?
577,how many cases of covid-19 are in the us?
578,what is the difference between covid-19 and the flu
579,i need help
580,can i work from home?
581,i hate this
582,what can i do to avoid getting sick?
583,what cleaning methods kill the coronavirus?
584,when am i entitled to take paid sick leave?
585,how long has the national emergency been in place?
586,my girlfriend has symptoms of covid-19
587,should i get tested
588,how does covid-19 spread
589,how long does the corona virus last?
590,how to i apply for unemployment
591,are schools closed ?
592,how is covid transmitted?
593,are my children's schools closed?
594,is hs 123 open?
595,how long should you self-quarantine?
596,can pets contract the virus
597,when will the nhl return?
598,i'm hanging up
599,do my test results come in the mail?
600,how long before i get symptons?
601,returning from abroad
602,tell me about paid sick leave
603,what is the coronavirus?
604,i need help
605,can i get tested
606,sars vs corona virus?
607,does eating garlic help?
608,are quarantined visits allowed?
609,where are cases?
610,tell me about the symptoms
611,how do i avoid coronavirus
612,how to prevent covid infection?
613,what are my symptoms
614,flu vs. covid-19
615,where cani get tested
616,is graduation delayed?
617,how many folks in texas are infected?
618,should i feel safe going to the movies?
619,what are the risky countries?
620,how can i get the latest news on my school closure?
621,how to apply for unemployment
622,will my head hurt if i have covid 19?
623,can a mask help me?
624,which countries are affected by covid 19?
625,coronavirus test kit
626,what are my symptoms
627,"i have a fever, should i get tested?"
628,how do i get screened?
629,can i get paid sick leave
630,what position does the who have?
631,how long is the incubation period for covid-19
632,are schools shut down?
633,"if i am in quarantine, can i go for walks?"
634,where are cases?
635,i was tested yesterday when do i hear back?
636,can i work from home?
637,are my schools closed
638,what is shortness of breath
639,i'd like a respirator
640,which countries has covid-19 been detected in?
641,is the government legally allowed to close shops and restaurants?
642,will i get paid if i have covid-19?
643,how is the us government addressing the spread of covid-19?
644,will texas provide paid sick leave
645,when can i go outside
646,can i get tested at home?
647,what are the types of symptoms
648,how long should you self-quarantine?
649,is it possible to detect the disease during the incubation period?
650,everything is horrible
651,i think i'm infected
652,sars vs corona virus?
653,flu vs covid19
654,sars vs corona virus?
655,i have sore throat
656,can i go shopping when i'm in quarantine?
657,can i get corona virus from my pet?
658,when should i wear a mask?
659,how many people in the world have died?
660,i am abroad who should i contact?
661,i'm hanging up
662,what are the symptoms of the disease?
663,will a respirator help me?
664,what schools are closed
665,i think i'm infected
666,everything is horrible
667,how many beds are available in the hospitals?
668,what schools are closed
669,where can i get tested in houston?
670,events and large gatherings
671,what should i do to stay safe?
672,what can you do
673,will graduations be pushed back?
674,can i get tested?
675,"if i think i have covid-19, should i see my dr?"
676,my eyes are burning
677,is graduation delayed?
678,hi what are the symptoms?
679,is covid transmissible from animals?
680,when can i return to school?
681,i am abroad who to contact?
682,where can i find information about covid 19 for the world?
683,washing your hands effectively
684,am i sick
685,where can i test
686,can i go to the hospital?
687,how am i supposed to be quarantined when i live with other people?
688,can medication reduce fever caused by a possible covid infection?
689,how is flu different from corpnavirus
690,what are the symptoms?
691,how can i apply for unemployment?
692,i have symptoms. where can i get tested?
693,covid number in my state?
694,why aren't there respirators?
695,what is covid-19
696,should i see a doctor if i am showing the symptoms?
697,what does the who do?
698,do i need to get tested?
699,who is in danger
700,is there a cure for covid 19?
701,can i get tested at walgreens?
702,when can i buy a mask?
703,how can i apply for unemployment during this outbreak?
704,can dogs get covid19?
705,will there be school in the summer?
706,how can i get infected?
707,is this worse than flu
708,what will help me prevent covid infection?
709,should i go to the hospital
710,will classes be moved to summer?
711,why is the government shutting down my event?
712,what cleaning methods kill the coronavirus?
713,my eyes are burning
714,how do i avoid coronavirus
715,i'd like a respirator
716,what is the incubation period of covid?
717,when will the schools open?
718,how long is teaching on hold?
719,what is the mortality rate of covid-19?
720,what are symptoms
721,when will masks be available?
722,i want to help with babysitting.
723,how do i clean my home properly?
724,who am i talking to
725,how does covid-19 spread to others
726,flu vs coronavirus
727,how do i know if i'm sick with covid-19?
728,how do i know if i got this thing
729,my husband has coronavirus symptoms
730,what are my symptoms
731,what are the symptoms
732,number of infected
733,what is novel coronavirus?
734,do i have covid?
735,will a respirator help me?
736,what is covid?
737,are schools closed ?
738,can i die from covid-19
739,origin of coronavirus
740,is it possible to test for covid 19 during the incubation period?
741,should i avoid people?
742,why aren't any masks available?
743,who is responsible for quarantined people?
744,how do i know if im sick
745,can i test myself?
746,can i go to the grocery store or will i catch corona
747,how do i know if i'm suffering from shortness of breath
748,are events being shut down?
749,is the covid vaccine ready?
750,will my employer give me paid leave if i have coronavirus?
751,i have a temperature and cough. do i have the coronavirus?
752,everything is horrible
753,is covid19 contagious?
754,do i have to wear a respirator?
755,can i go to the gym or should i avoid it?
756,are there any travel restrictions in place yet?
757,how long does it take to develop a vaccine?
758,my friend has it should i t get tested
759,is my kids school closed
760,"i live in an apartment with my girlfriend, but i am under quarantine now.  what should i do?"
761,washing your hands effectively
762,can i test myself?
763,what is the treatment for this disease?
764,who do i contact if i want to get tested for covid 19 infection?
765,is there a test kit for the coronavirus?
766,can i go outside
767,hello are you a living person?
768,how many people are infected
769,are there disinfectants available that can inactivate (kill) covid-19?
770,when should i go to a doctor?
771,paid sick leave
772,how to treat covid?
773,i'm afraid and don't know what to do
774,will i die from covid-19
775,can i go outside?
776,how do you test
777,can i go to park
778,medication that helps with coronavirus
779,is covid-19 contagious?
780,yes it is
781,do i get paid sick leave
782,what is the mortality rate of covid-19
783,is it safe to fly to seattle?
784,i need help
785,can you help me?
786,what is covid?
787,how long do i need to quarantine before i no longer can transmit the virus?
788,how long will we have to self quarantine?
789,i hate this
790,my doctor hasn't given me my test results back yet.
791,a national emergency was declared in the united states. what does this mean?
792,this is crap
793,what happens after the ordered three-week closure period ends?
794,i'm hanging up
795,how does the infection spread
796,how long does it last
797,in the event there is a large number of infected and hospitals can't manage to treat everyone what is recommended treatment for home quarantine and self-medication?
798,when does covid vacation end?
799,can i still go grocery shopping
800,is covid-19 contagious?
801,i need help
802,how can covid be transmitted
803,what is covid?
804,how does covid spread
805,i don't like this
806,what are the most common symptoms of covid?
807,can i go out without a respirator?
808,when will the national emergency end?
809,switch me to an operator
810,where can my kids go back to school
811,can i travel?
812,should i make an appointment with my dr?
813,is covid-19 contagious?
814,"i have a cough but am breathing fine, should i go to the hospital or wait?"
815,is this worse than flu
816,do i get paid leave time
817,are there any cases near me
818,what should i do if i am a teacher?
819,what should i do to contain the spread of the virus
820,can pets contract the virus
821,how do you test
822,are colleges open
823,how long does it last?
824,is covid a disease?
825,how does quarantine work?
826,are schools in my area closed
827,are grocery stores still open
828,is coronavirus contagious?
829,how do i know if i have this thing
830,what is recommended by who and other international organizations regarding coronavirus?
831,medication that helps with coronavirus
832,is my kids school closed?
833,can i still attend a conference
834,is covid19 contagious?
835,what is a safe distance when someone brings me groceries?
836,how is it going
837,can i still get paid sick leave for 14 days if i get corona
838,paid sick leave
839,when can my kids go back to school
840,i hate this
841,how do i get a coronavirus test?
842,what's the best way to prevent coronavirus?
843,can i protect myself by drinking alcohol
844,what should i do
845,how do you test
846,why aren't there enough masks and respirators?
847,can my kids return to high school
848,paid sick leave
849,what parks are open?
850,the hospital is full and they sent me home.
851,events and large gatherings
852,what's the difference between flu and coronavirus?
853,if i get sick will i continue to get paid?
854,is anyone near me sick
855,how do i ensure my family is safe?
856,will there be a mandated quarantine
857,what is covid19
858,where can i order a coronavirus test
859,how would i catch it?
860,who is responsible for quarantined people?
861,what is covid
862,is there a coronavirus test kit
863,what can i do to not get sick?
864,is there a vaccine?
865,how long can i expect to be sick?
866,what is the hospital capacity for covid 19 patients?
867,where can i get a test
868,how is flu different from corpnavirus
869,i have cancer am i at risk of coronavirus?
870,who are you
871,i need medicine. can i go to the store?
872,can i go to grocery stores
873,how do i get tested?
874,what is covid19
875,do i need to get tested?
876,"if infected, how long should individuals self-quarantine?"
877,where can i get a covid-19 test?
878,what is the best prevention?
879,i suspect i have the virus who can i call?
880,is graduation delayed?
881,what if i break quarantine?
882,who you are?
883,where can i get tested?
884,what are the symptoms?
885,what opinion does the world health organization (who) have on next steps?
886,can i take ibuprofen if i have corona virus?
887,i have a question about unemployment
888,is hs 123 open?
889,i hate this
890,what are the symptoms?
891,"i live in austin, where can i get tested for covid-19"
892,i have a question about unemployment
893,can i go to the store.
894,flu vs coronavirus
895,is covid transmissible from animals?
896,i'm having respiratory problems
897,can i still go to the grocery store?
898,the son is on an exchange trip
899,are my schools closed?
900,how can i get infected?
901,do i have covid?
902,when can my high school senior go back to school
903,duration of paid sick leave?
904,will i get paid leave?
905,how do i get rid of germs at my home
906,i heard about covid what is it?
907,how is covid-19 spread?
908,when can my kid go back to school
909,is covid19 contagious?
910,daughter is studying abroad what do we do?
911,prevent the spread of the virus
912,testing spots for coronavirus?
913,i'm hanging up
914,what are symptoms of coronvirus
915,what are the symptoms
916,what are the symptoms?
917,can my friends visit me?
918,what is the difference between the flu and coronavirus
919,are the national parks closed?
920,are grocery stores still open
921,how can i get screened
922,will i die from covid-19
923,how is covid transmitted?
924,i have illness symptoms
925,how long can i get unemployment?
926,what schools are closed
927,when does a person become contagious?
928,what is covid-19
929,can i go outside?
930,this is crap
931,how is covid transmitted?
932,how many people are infected in illinois?
933,what is covid-19
934,i'm hanging up
935,apply for unemployment
936,how can i get tested
937,incubation period of coronavirus?
938,what is a national emergency?
939,how does covid-19 spread
940,can i travel out of the country?
941,what should i do if the hospital won't take me in?
942,who is eligible to get paid sick leave
943,how many current cases are there in illinois
944,what do i do if i don't have unemployment insurance?
945,is there a vaccine for covid-19?
946,how does the infection spread
947,what is the coronavirus?
948,who you are?
949,can dogs get the corona virus?
950,i have an irritating cough
951,this is crap
952,how do i know if my concert is cancelled?
953,how many hospital beds do we have in the us?
954,i don't like this
955,covid number in my state?
956,am i going to die
957,is lysol enough to get rid of covid virus from countertops
958,what kind of medicine should i take
959,how do i treat coronavirus?
960,none of those sound like they cover how to get tested. can you tell me how/where i can get tested?
961,where did covid come from?
962,what is a pandemic?
963,flu vs coronavirus
964,is rash a symptom of covid-19?
965,i hate you
966,what should i do
967,can we go to the store?
968,is covid19 contagious?
969,do we have enough protective measures?
970,how do i apply for unemployment
971,can pets get the virus
972,which countries should i avoid?
973,when will my kids be back in school?
974,can i visit relatives in another state?
975,what is the most effective prevention?
976,i have a sore throat
977,how long does it take to quarantine?
978,what is the mortality rate for covid 19
979,is my kids school closed
980,everything is horrible
981,what is the coronavirus?
982,will government employees be paid during sick leave?
983,why aren't there respirators?
984,can dogs get covid19?
985,is hs 123 open?
986,how does this work
987,when will my kids school reopen
988,should i buy a respirator?
989,when will schools close?
990,i am in new york where should i get tested
991,what is effective prevention against covid?
992,how is the flue different from the coronavirus?
993,what are the symptoms i should look out for
994,how can i get a coronavirus test?
995,apply for unemployment
996,how many patients are infected with cornona virus in collin county
997,why are there no masks and respirators in pharmacies?
998,how do i know whether to go to the doctor?
999,is covid a disease?
1000,how do you protect yourself?
1001,what schools are closed
1002,do i need to stay home
1003,how can i get screened
1004,is it dangerous for postal workers
1005,can dogs spread the corona virus?
1006,origin of coronavirus
1007,i'm afraid i have covid-19
1008,can i go outside
1009,do i have to quarantine when i come back from out of the country?
1010,does a mask or respirator help prevent covid infection?
1011,can my pets get the virus?
1012,will the parks and bike trails remain open?
1013,my eyes are burning
1014,is there a test for teh coronavirus
1015,what is the best way to prevent coronavirus
1016,how is it going
1017,when will teaching go back to work?
1018,what happens if i lose my job?
1019,what are the crisis measures currently in place?
1020,how are you
1021,can i travel for work?
1022,is there a coronavirus test kit
1023,i think i have covid 19
1024,coronavirus test kit
1025,are colleges open
1026,are colleges open
1027,how long does coronavirus last
1028,where can i get a test kit
1029,how many beds are available for covid-19 patients?
1030,what is corona virus
1031,where can i get tested for the coronavirus in new york
1032,how long do i have to stay in quarantine?
1033,where can i get tested for coronavirus
1034,incubation period of coronavirus?
1035,washing your hands effectively
1036,what are the covid-19 symptoms?
1037,what should i do if i returned from another country?
1038,how is covid transmitted?
1039,what is the most effective prevention?
1040,when will covid-19 medicines be ready?
1041,i can not breath very well
1042,testing spots for coronavirus?
1043,where can i get tested for cover-19
1044,how many cases of the virus are there in the world?
1045,where i can get tested
1046,i want a test for coronavirus
1047,why are no masks or respirators available anywhere?
1048,the who has declared a pandemic in the world. what does this mean?
1049,will i die if i get coronavirus>
1050,how long does it take to get unemployment
1051,is there a test kit for coronavirus
1052,is there a vaccine for coronavirus?
1053,how to treat covid?
1054,which age group is at an increased risk of getting covid 19?
1055,how long do i have to be stuck at home?
1056,what does a pandemic mean?
1057,can i travel?
1058,do i have to go into quarantine?
1059,what should i do if i have been quarantined?
1060,my child is coughing. should i be worried?
1061,do i need to get tested?
1062,when do the children go back to school
1063,how long does it last
1064,can i order food while in quarantine?
1065,i think i'm infected
1066,how can i prevent coronavirus
1067,what if i don't have paid sick leave
1068,what can you do
1069,when can my kids go back to high school in 78712
1070,who should i call if i have symptoms?
1071,how many people have the virus?
1072,where can i get masks?
1073,can i get tested?
1074,where can i find more information about covid 19?
1075,can the government close public places?
1076,the hospital sent me home because of a lack of beds.
1077,should i spray myself or my kids with disinfectant?
1078,i thing i feel symptoms of the disease
1079,where i can get tested
1080,should i cancel my flight to denver?
1081,i have travled recently. what do i do?
1082,i am currently traveling out of the country. who should i contact?
