id,text
150,why is my beneficiary being denies?
151,"i tried to get some with-drawls but the machine didn't work. the transaction still seems in progress.seems like  something is wrong,i don't want to be charged for transaction i did not make."
152,how come my card payment is still pending?
153,explain why i can't do a transfer to an account.
154,is there an additional charge to exchange currencies?
155,what's the phone number to freeze a card?
156,how do i cancel my transaction?
157,"i need a new card, my old card is expiring."
158,i tried to transfer cryptocurrency into my account but was denied
159,where do i go to reset my passcode?
160,help me locate the nearest atm.
161,how much does it cost to get a new card?  mine is almost expired.  how fast does it come?
162,where can i find an atm?
163,my card is very close to expiring. when can i order a new one and how do i do so?
164,is there a possibility to open an account for my sons and daughters?
165,why would a transfer to an account not be allowed?
166,"if someone in a different country sends me money, do i have to pay a fee?"
167,i made a cash withdrawal and it is still listed as a pending transaction.
168,i lost track of my card
169,fix my contactless
170,the transfer to my beneficiary has not gone through
171,i happened to forget my passcode
172,i tried to make a transfer but it failed
173,can i keep using my card after it expires?
174,"my card payment is just showing up as pending since forever, what's going on with that, when should it be going through?"
175,my card got stolen!
176,i tried to make a transfer like five different times. why won't your system let me? is it broke?
177,can you freeze my card it was stolen
178,is there any age limit?
179,there are strange transactions on my account.  what should i do if i think someone stole my details?
180,how much does it cost to exchange currencies?
181,my card is gone i think it was stolen
182,please cancel my last transaction.
183,what steps do i take to receive another passcode?
184,i need to change a transfer.
185,why is my card payment still listed as pending?
186,how do i change my pin abroad?
187,i tried to transfer money but it said it wasn't possible? i've done this before and it worked why isn't it working now?
188,i can use this card at which atms?
189,at what atms am i able to use the card?
190,tell me why my transfer failed!
191,can my children have an account?
192,where can i change my pin?
193,is there a fee for exchanging currencies?
194,how do i replace my card before it expires?
195,what do i do if my card has been lost or stolen?
196,i need help right now. i realize i sent my payment to the wrong account number after making a typo. please cancel the transfer now since i can't do it from the app.
197,can a transaction be cancelled?
198,what is the cost for exchanging currencies?
199,is there a foreign currencies charge?
200,where do i go to cancel a transaction?
201,what does a 'pending payment' mean?
202,my balance is not what i thought it was following an atm withdrawal
203,i was unable to transfer to another account.
204,"i want to withdraw money, where can i go?"
205,can i change my pin at any atm?
206,my card is about to expire. how much does it cost to order a new one and how fast will i get it?
207,my payment still hasn't processed!
208,my contactless stopped working today for no good reason. it's not working no matter where i try to use it. can you please help me fix it?
209,i tried to get some money but the machine was not working .the transaction still seems in progress! can you please check what's going on.i don't want to be charged for money that i did not received.
210,am i allowed to change my pin anywhere?
211,i need to order a new card as my other one was stolen.
212,how can i tell if an amt will take this card?
213,i have tried transferring money numerous times.  all i keep getting is an error message.  can you tell me what is going on and how this van be fixed?
214,my card was stolen and used to make several purchases. please freeze my card so no one can use it.
215,what do i have to do to activate my card?
216,"i dont recognise some of these transactions, i think someone has my card details"
217,why was i denied the option to transfer money to a selected beneficiary?
218,"i didn't mean to do the transfer, is there any way to cancel it?"
219,why can't i use my beneficiary?
220,if my card becomes expired what can i do?
221,is my child too young to sign up?
222,"help!  i fear that my card was stolen,"
223,what is the proper way to activate a card?
224,will i receive a new card when mine expires?
225,it is extremely important that i cancel the transfer i made yesterday and put the money into a different account.  is this possible?
226,at which atms can i use this card?
227,is there a fee for exchanging currency?
228,what type of atms accept this card?
229,i don't need to transfer anymore and i want to cancel it.
230,is there an additional cost to exchange currencies?
231,what happens when a beneficiary can't receive my transfer?
232,i need to cancel a transfer i made.
233,how do i stop fraud to my card?
234,is my pending cash withdrawal processed?
235,why would i have a pending payment?
236,my card got lost.
237,could i open an account for my children?
238,where do i activate my card?
239,how old do you have to be to be able to open an account?
240,do you know the process how to activate my card?
241,can you tell me what i need to do to have my pin changed?
242,i want to cancel a transaction from this morning.
243,what do i do if i forget my passcode?  because i did.
244,what do i need to do for the card activation?
245,i have some transactions on my account i did not make. can you cancel my card and prevent further use.
246,do i need to go to a physical bank to change my pin?'
247,i can't get a contactless payment to work.
248,i made a payment with my card and it hasn't changed. how long do you think this will take?
249,"i stupidly initiated a rent payment from the wrong account yesterday. it can't be paid from that account, but it really needs to get paid on time. am i able to move the payment to the right account?"
250,i want to cancel my card. i think someone else is using it.
251,"my card will expire soon, do i need to order a new one?"
252,can i use this card at an atm?
253,am afraid someone may have gained access to the info on my card.
254,i think someone is using my card without my permission!
255,i want to transfer money to a beneficiery. why can't i?
256,can you tell me where i can withdraw money?
257,how do i open up an account for my child?
258,what age can sign up for services?
259,"my withdrawal is pending, why?"
260,my card has gone missing.
261,where do i need to go to change my pin?
262,why was a transfer to an account not allowed?
263,what is the process of card activation?
264,how old do you have to be? is it possible to change my pin if i am out of the country? can i activate my card with the app? my cash withdrawal is pending
265,"i tried and tried, but i could not complete my transfer. tell me what is wrong."
266,"my card will expire soon, when do i need to order a new one?"
267,what does it mean if my payment is pending?
268,i made a card payment by my card but it failed. please let me know when the payment will get completed as its still pending.
269,why is a transaction showing as pending when i recieved cash from an atm?
270,i was trying to purchase some crypto and the app won't allow me to do it. what's the deal with this? i really wanted to complete the exchange.
271,how is this transfer supposed to work? it's not working for me.
272,can you provide a reason as to why my transfer did not work?
273,help me set up a new pin?
274,how old does my daughter have to be to open an account?
275,what do i do if i have forgotten my passcode?
276,is there any cost to change foreign money to local?
277,why was i not able to complete my transfer?
278,why is my beneficiary not working?
279,what do i do after my card expires?
280,tell me how to replace my expired card.
281,i tried transferring to an account but it won't let me.
282,my card is being used online to make a bunch of purchases! someone else is using it fraudulently. can you help me freeze it?
283,i made a cash withdrawal but the pending status is taking forever.
284,tell me what i need to do to activate my card.
285,i need urgent help. i realize i sent my payment to the wrong account number. i made a typo. please cancel the transfer now. there isn't an option from the app.
286,i would like to know why my purchases from this morning are still pending.
287,when will a cash withdrawal show up?
288,my cash in the atm is still pending
289,why wasn't a transfer to account approved
290,can i use app to freeze my card and dispute fraud?
291,what will happen after my card expires?
292,help! i made a transfer in error and need to cancel it before it's complete!
293,the contactless payments are not working.
294,"if i have this card, which atms can i go to?"
295,i am having trouble transferring money to a beneficiery.
296,is my card activated?
297,when will my payment go through?
298,freeze my account it's been hacked.
299,i can't activate my card?
300,how do i cancel a charge?
301,someone else used my card!
302,"i made a rent payment from the wrong account yesterday. it absolutely has to go through tomorrow, so can you please reroute the payment to the right account?"
303,what are the age requirements for service?
304,the transfer i just made needs to be cancelled right now. it was my mistake. please help me cancel it before it goes through!
305,i would like to cancel my previous transaction
306,at what cash machines can i change my pin?
307,how can i get new card?
308,help me activate my card.
309,i want to cancel the transaction i made earlier
310,what atms is the card okay to use at?
311,"i need to activate my card, how is that done?"
312,the app says my transfer failed
313,i've tried using my contactless in several locations today and it's not working anywhere. it seemed fine before. how do i get it to work again?
314,am i able to have a card sent to china?
315,"please, activate my card"
316,if i need to exchange currency is there an extra fee?
317,are contactless payments enabled on my new card?
318,"hae there, i have a transaction that is in progress despite the fact that the atm was not working, what do i do to avoid being charged?"
319,"i did a payment with my card but seem that didn't work, it's still listed as pending since a while ago. when does this actually go through?"
320,why has my beneficiary been denied?
321,is there a minimum age for having an account?
322,my daughter needs to open account.
323,how do i activate my card so i can start using it?
324,how do i go about activating my new card?
325,please help me with the activation of the new card.
326,a card payment on my account is shown as pending.
327,what do i do if i think someone managed to get my card information?
328,how come i'm not allowed to transfer funds right now? i just keep getting an error message.
329,can you help me reset my passcode? i forgot it.
330,will i be charged for exchanging foreign currencies?
331,which countries can i change my pin in?
332,there is a payment that i made that i noticed has not gone thru yet. can i ask why?
333,is the a reason why my transfer has failed?
334,"if i want to get an account for my daughter, can i do that?"
335,what can i do if my card details where stolen from my car? i think they used my card to buy gas.
336,what would ii do if i wanted to activate my new card
337,i just received my card and i'd like to activate it.
338,how old must i be to open an account?
339,why can't a beneficiary receive a money transfer from me?
340,how do i update my pin to a new number?
341,what kind of atm's can i use?
342,do i have to change my pin at a bank?
343,i'm suddenly getting an error while attempting a transfer that it isn't possible. why? i've done it before.
344,i can't find my password
345,i would like help to revert a transaction i did this morning
346,how do i replace my card?
347,is there a list of atms that take this card?
348,is a copy of the police report necessary for completing the report process?
349,are there certain atms that i can use this card at?
350,how can i transfer money to a beneficiary?
351,is it possible to cancel a transaction?
352,can my children have their own account?
353,is it free to exchange currency?
354,my card is about to expire.
355,instruct me how to reset the passcode.
356,hi i'm sending some money over to an investment bank i do business and the transaction is being rejected. i'm not sure why as i think i have the right details.
357,how long does it actually take my card payment to make it to the account? i've made a payment a couple of days ago but it hasn't moved since.
358,does it cost anything to get a new card? mine's about to expire and i'd also like to know how long it takes to get the new one.
359,i would like to have assistance with activating my card.
360,what do i have to do to change my pin?
361,"hi, would you please activate my card?"
362,am i able to change my pin at any cash machines?
363,the contactless i have won't work.
364,help!  i can't find my card.
365,"my entire gym bag, including my wallet, was stolen out of my locker today. everything in my wallet is gone - how do i block the card to make it can't be used?"
366,my attempted transfer keeps kicking back with an error message.  could you please help me to resolve this?
367,"my card expires soon, will you send me one automatically?"
368,what do i do if i forgot my passcode?
369,please help me change my pin.
370,there is a payment that has not processed.
371,i've transferred money before without issue but now i am encountering an error stating that it isn't possible. why is that?
372,how much is the charge for a foreign currency exchange?
373,why is my contactless not working?
374,i messed up and made a transaction using the wrong account.
375,why cant i send money to a beneficiary?
376,lost password
377,why would a cash withdrawal be pending?
378,can i receive a new card while i am in china?
379,would it be possible to open up an account for children?
380,"once my card expires, what should i do?"
381,if i want my son to have his own account is that possible?
382,card payment still pending.
383,why couldn't i do a transfer to a beneficiary?
384,can you freeze my card because someone used it while i was out of town. i did not make these purchases.
385,why does it still charge me even though i was unable to withdraw money from the atm?
386,how is my atm deposit not available yet?
387,where is an atm?
388,i'm on vacation in europe but i desperately need to change my pin. can i do this from abroad?
389,i couldn't transfer to an account.
390,are there any specific cash machines that i have to go to in order to change my pin?
391,what does a pending transaction mean?
392,i want to activate my new card.
393,can i change my pin?
394,help me order a new card that's going to be expired soon.
395,i need to actuate my card.
396,is it possible to change my pin?
397,can i use my card at an atm?
398,"if my card expires next month, will i need to order a new one?"
399,what are then rules on beneficiaries?
400,how much do i have to pay for the exchange fee?
401,i would like to change the the pin on my card.
402,i will need a new card because mine is almost expired.  how fast do i get a replacement and what is the cost?
403,can you tell me why my transfer is failing and help resolve?
404,"i have a cash withdrawal that says it's pending, why?"
405,where can i find instructions to change my pin?
406,want a new card what are the fees
407,is going to a bank only way to change my pin?
408,i made a mistake this morning when i did a transfer. how do i reverse it?
409,why has my payment not gone through?
410,what went wrong when i tried to do my transfer?
411,what are the reasons a beneficiary would be denied?
412,"hi! i was wondering if you can help me. i used the city centre atm to get some cash, but the machine declined my card. my account shows that transaction is still pending. i didn't receive the money, so please cancel that transaction."
413,how much is it to exchange currency
414,i bought some stuff this morning but the payment shows as pending
415,how can i activate my card>
416,"i am overseas in china, can i get a replacement card?"
417,what should i do if my card is stolen?
418,"next month my card will expire, do i need to order a new one?"
419,if my card is about to expire how long would it take to receive a new one and how much would that cost me?
420,exchange fee help?
421,why will my transfer not go through?!  keep getting an error message.
422,the activation process for my card isn't working.
423,my card is due to expire soon.
424,"hello, i am buying a flat and need the inital payment for the mortgage to go through. it keeps showing up as error, what is going on? can you please help me make this transfer?"
425,"my card is going to expire, what do i do?"
426,is there a reason my payments are pending?
427,"i tried to withdraw money, but was unable to. still says that the transaction is pending? will this money disappear??"
428,what is the first step that i should take after my card has been stolen?
429,tell me what atms take this card.
430,my card's expiration date is close.
431,i think my card is stolen!
432,what does it mean to have a pending cash withdrawal?
433,"i don't know what's wrong, my contactless stopped working. tried it in a few different places today and it didn't work in any of them."
434,"hello.  i ran into a problem with a transfer this morning.  i was trying to send money to some friends but when i tried to send it, the transfer failed.  i don't know what is causing the transfer to be rejected.  please let me know what is causing the problem.  thanks."
435,why can't i transfer to another account?
436,why does my payment appear as pending?
437,what is the cost for an exchange fee?
438,i am having problems transferring to a beneficiary.
439,what should i do if the passcode doesn't work for me?
440,i have a card payment which shows as pending
441,i'm in china and need a new card. please help.
442,"i have tried to submit a transfer a couple of times now, and for some reason, it continues to be unsuccessful. do you know why this may be?"
443,i have a pending payment on my card.  why?
444,i entered a typo when i was transferring money and now i've sent it to an incorrect account.  this is so bad!  i need it cancelled now.
445,please can you block the transaction i just sent from my account? it was a payment but i accidently typed in the wrong details and think it might have gone to the wrong place.
446,i forgot my password
447,tell me how to cancel a transfer.
448,my card is almost expired.  how fast will i get a new one and what is the cost?
449,"i wanted to use my card contactless but it doesn't seem to be working, what could be the problem?"
450,"i tried to make a transfer, but it didn't work."
451,i have a withdrawal waiting to go through.
452,help me cancel a transfer.
453,"this is frustrating, i'm at work and my transfers are not going through. i keep getting an error message, i do not have time for this."
454,i need to cancel my recent transfer quickly since i made a mistake. please help before it goes through.
455,"my card was used without my permission, what do i do?"
456,why wont the other bank take my money?? is it not good enough?? there's sufficient funds but i keep getting denied a standard transfer. ive tried 5 times!
457,how can my new card be activated?
458,"my transfer failed, why did that happen?"
459,how many miles away is the atm?
460,how much does it cost to exchange my balance into a foreign currency?
461,"my card has been pending for a while, what should i do?"
462,is there any type of fee for currency exchange?
463,"i want to buy cryptocurrency, but your app doesn't let me. why?"
464,i made a transfer into my account and now i need to cancel it
465,how many atms will take this card?
466,what do i need to do to change my pin?
467,i just initiated a transfer but i'd like to cancel it.
468,what does it mean when it says i have a payment pending?
469,there was a transaction this morning that i'd like to reverse.
470,how old do you need to be to use the banks services?
471,why are the things i bought earlier today still showing as pending?
472,my wallet was stolen and all my credit cards were in there.  help?!!?
473,can you please tell me why my cash withdrawal is still pending?
474,tell me what i should do after my card expires.
475,"i can't remember my app code, can you reset it?"
476,what is the most efficient way to activate my new card?
477,why would my payment for my card show as pending?
478,"this is urgent, i typed the wrong payment information for a payment i needed to make and have clicked send, i need to reverse the transaction immediately."
479,i am entering my passcode but getting an error.
480,"fix your system. i can't make transfers, i've tried like 5 times already."
481,i cant find my card.
482,i am not able to do a transfer to an account
483,would i be able to open an account for my daughter?
484,how can i make my card active?
485,"when will i get a new card when i order it, and how much will it cost."
486,someone else might be using my card without my permission.
487,what should i do if i think my card was stolen?
488,i've forgotten my passcode. can i reset?
489,my card is expiring soon.
490,"my account says there are pending funds right now from withdrawing from an atm, but my card was declined and i never took out any money. when will that money be deposited back into my account?"
491,my card is lost! what can i do?
492,my purchase from this morning still is pending.
493,i need to cancel an incorrect transaction.
494,do you have any age limit?
495,what is the process to change my pin?
496,when is a payment i made with my card going to clear>
497,do i need to speak to a representative to change my pin?
498,does it cost anything for exchanges?
499,"i was trying to make a transfer and got an error message telling me it was not possible to make the transfer. this has never happened before, what happened?"
500,i want to change my pin.
501,"my card is expiring soon, how do i order a new card?"
502,can you tell me the atms i can use with my card?
503,how can i stop fraud on my account right now?
504,is there any way for you to find my card?
505,when will my card be activated?
506,what would the price be for an expired card replacement and how long will it take me to get it?
507,are there specific atm's i can use with this card?
508,do cash machines let me change my pin?
509,there is a pending transaction on my account for when i tried to get money from the atm earlier and it did not work. can you fix this?
510,where are the locations of atms that accept this card?
511,how do i make contactless work
512,if i want to can i set up a new pin?
513,i'm not quite understanding why my cash withdrawal is showing as pending.
514,"there are a few transaction that i don't recognize, i think someone managed to get my card details and use it."
515,"i am having issues using contactless payments, could my card be damaged?"
516,i need a new card before it expires.
517,i inadvertently completed a transaction on a wrong account.
518,what do i need to do to activate my new card?
519,when will the cash that i put in the atm be cleared from pending status?
520,how do i activate my new card
521,my transaction is still showing that is pending from my cash withdrawal.
522,does it cost much or take long to get a new card? mine is about to expire.
523,my card is almost going to expire.
524,"my recent transfer needs to be cancelled immediately; it was a mistake, please can you cancel it before it goes through?"
525,my card is stolen.  help!
526,is there any way i could open an account for my daughter?
527,"i attempted a transfer, but it failed."
528,do i need to re-apply to order a new card when my old one's about to expire?
529,why didn't this transfer work?
530,"for some reason, i'm unable to transfer funds."
531,how long will it take for my payment to go through?
532,stop the transaction
533,do you have an age requirement when opening an account with your service?
534,"i need to reset my passcode, this one isn't working"
535,i want to revert this mornings transaction.
536,the money would not transfer to a beneficiary.
537,could you please activate my card
538,please provide currency exchange rates
539,please help me make a transfer. i keep receiving an error and i'm trying to make the initial mortgage payment for a flat i'm buying. what is the deal here?
540,"my card is expiring, how do i get a new one?"
541,why hasn't payment gone through yet?
542,can i change the amount i made on a payment that i made to the payment is correct.
543,which atm's will accept my card?
544,would i need to pay extra for currency exchanges?
545,"in a month, my card will reach its expiration date, am i required to request the next card?"
546,i got my new card but i am not sure if it need s activated and how?
547,what are the steps in order to activate my new card?
548,how far is the closest atm from me?
549,someone has been using my card. there are unfamiliar transactions on there. can you freeze the card to keep this from happening?
550,how do i deactivate a stolen card?
551,"hey i want to buy some crypto but the app doesn't allow me to! what's the issue, i really want to exchange this"
552,i think someone got my card details and used it because there are transactions i don't recognize. what do i do now?
553,someone might have had access to my card.
554,a transfer to an account was not allowed
555,i need to stop a transaction that i made.
556,why wouldn't my contactless work for the metro?
557,is my card ready for use or does it need activated and if so how?
558,my card is about to expire and i need to know how much it costs and how long it takes to get a new one.
559,is my daughter eligible to open an account?
560,is there a fee for currency exchange?
561,in my account i noticed my atm withdrawal is still pending
562,"my work sends me all over the world, can i get a discount for all the money i have to exchange?"
563,i need info on activating my card?
564,i made a purchase and it says it's pending. what does that mean?
565,are currency exchanges free?
566,"hello. i looked at my account and see that a transaction i tried to do is pending, but i did not complete that transaction. when i was at the atm, the machine declined my card. can you make sure that transaction does not go through because i definitely did not receive the money."
567,can you tell me what the exchange fee is?
568,"your system is broken. my transfers keep failing, 5 times now."
569,what kind of cash machines would allow me to change my pin?
570,are there discounts for frequent currency exchanges?
571,why is a transaction still pending?
572,why is my withdrawal from the atm still showing as pending?
573,"i have made a payment by my card, and its still pending since a long time. could you please tell me when it will process."
574,what are the reasons why you would not be able to process a payment
575,my contanctless has stopped working
576,"if i feel someone has my card information, can i get a new card?"
577,"cancel my transfer, please."
578,can i change my pin through the app?
579,can my teenager have an account?
580,the account transfer i was trying to do failed.
581,are there any discounts for frequent currency exchanges?
582,i don't know what a pending payment is.
583,"just received my replacement card, what steps do i need to take to activate it?"
584,i would like to get help from someone in your customer service department with assisting me with activating my card.
585,can you tell my why my funds transfer did not work properly?
586,what is a pending payment?
587,i think youre system may be broken because i have tried transfer money 5x and it isnt working!  i'm not doing anything complicated it is what i usually do.
588,what is the youngest someone can be to open an account?
589,how do i replace a card that's going to expire?
590,i would like to get help from someone with activating my card.
591,"the transaction for the cash i pulled out of the atm earlier is pending in the app, but how if i already have the cash?"
592,how long does it take to verify a cash withdraw?
593,how do i go about changing my pin?
594,can i get a new card even though i am in china?
595,why can i not make a transfer?
596,why is their a charge pending on my card still?
597,my passcode is not being accepted
598,it looks like a payment i've made hasn't made it through yet.
599,can i be charged for exchanging foreign currency?
600,my account did not allow the transfer.
601,"what stopped my transfer, from being accepted?"
602,i have been waiting for my card payment to be moved from pending status for an unusually long time.  what is going on here and do you have an idea of when i can expect it to go through?
603,i wanted to know what discounts were offered for current exchanges as it is something that occurs frequently.
604,how do i activate a card i received?
605,"i've now been trying to do a really standard transfer 5 times already. what's going on, is your system broken or something?!"
606,what cash machines will let me change my pin?
607,can i have a discount if i exchange currency often?
608,can my children open an account?
609,why was my transaction not approved?
610,how long will it take for my cash withdrawal to stop pending
611,"hi , i just came to know i made the wrong transaction  yesterday. would  you please make it correct?i need it by tomorrow."
612,how much more do you charge for currency exchange?
613,how do i update the pin on my account?
614,what kind of costs are involved for exchanging currency?
615,"my beneficiary has been denied, is this normal?"
616,i am waiting for a payment to be processed
617,cancel transaction
618,how do i activate a card?
619,my card was stolen last night.
620,i just got an email in confirming my purchase with my card. i login to the mobile app on the card and found out there are several purchase were made without me aware of it. evidently someone had stole my card information and made these fraudulent purchase. i need the transaction to be reverse and have my card suspended.
621,"my wallet was stolen, along with my cards. how do i put a freeze on my cards and order a new one?"
622,"there are transactions that i did not make on my account, i think someone has my information."
623,i'm in spain and my stuff has been stolen. my card was with it and i need a new one shipped and the old one frozen.
624,i think someone stole my card because i can't find it.
625,is there a limit for age?
626,what is the process to activate a card
627,"it says that my payment is pending, what does that mean?"
628,why is my card payment pending?
629,please assist me with activation.
630,why can't i complete the transfer?
631,i just got my new card.  how can i activate it?
632,i need to reset the passcode.
633,"there are transactions i didn't make, someone else must have used my card."
634,can i change my pin without going to a bank?
635,can someone assist me with activating my card?
636,please help!  the app won't let me cancel a money transfer.  i accidently sent money to an account that wasn't mine.  i need this cancelled immediately.
637,how do i replace my card before it expires next month?
638,"my card payment is just showing up as pending since forever, what's going on with that, it should be going through at some point?"
639,where do i go to change my pin?
640,my transfer to a beneficiary was rejected.
641,one of my card payments looks like it's stuck but i have made the payment days ago. how long until the payment will be applied to my account?
642,where can i withdrawal my money?
643,"my beneficiary is not allowed, please may i have answer as to why this is?"
644,how do i freeze my card using the app?
645,are there steps i need to take before my card expires?
646,i was unable to make a transfer to another account.
647,i got some cash in the atm but its still pending
648,the purchase i made is still pending.
649,i was unable to activate my card.
650,will i be able to open an account for my daughter
651,where can i reset the passcode?
652,does it cost extra to exchange foreign currencies?
653,would i be able to get an account for my child?
654,why is my beneficiary not being allowed to get payment services?
655,i forgot the code to access the app.
656,there are fraudulent charges that i didn't make on my card. can you please put in the safeguards necessary to stop this from happening anymore?
657,how do i set a new pin?
658,can you help me figure out what's happening? i'm trying to transfer money to a friend but it keeps getting returned. i'm not sure what i'm doing wrong.
659,"why can't i transfer my money into someone else's account? i should be able to do so right? why does it keep rejecting my transfer? there's no reason, all my info is correct and the money is there."
660,i think my card has been used by somebody else since i was never in the little town where some transactions on this bill have come from. please stop this right away.
661,how do i report fraud on my card?
662,do i have to be 18 to open an account?
